room_types,room_price,room_number
"프리미엄 트윈(조식포함,스타일러,엘레자 라텍스침대)",30000,50451
"스위트(조식포함,스타일러,엘레자 라텍스침대)",30000,50451
"스위트 트윈(조식포함,스타일러,엘레자 라텍스침대)",40000,50451
"로얄스위트(조식불포함,트윈,스타일러,엘레자 라텍스침대))",94000,50451
"로얄스위트(조식포함,트윈,스타일러,엘레자 라텍스침대))",40000,50451
203호 / 온돌 (가족실),80000,50452
302호 / 침대 (더블),90000,50452
205호 / 온돌 (가족실),100000,50452
202호 (카사노바)	,140000,50453
203호 (편백)	,140000,50453
204호 (골드),140000,50453
205호 (메리골드),140000,50453
206호 (프라다B),140000,50453
301호 (편백)	,160000,50453
준특실,15000,50454
특실,20000,50454
여성 싱글 캡슐 룸,19900,50456
남성 싱글 캡슐 룸,23900,50456
패밀리 캡슐 룸,70000,50456
독채(전체),450000,50456
세미 디럭스 (페이백),45000,50458
세미 디럭스,20000,50458
세미 디럭스(무비룸),45000,50458
디럭스(욕조),25000,50458
디럭스(무비룸),50000,50458
스탠다드,20000,50458
프리미엄(트윈 욕조),35000,50458
 , ,50459
일반,40000,50461
특실 (페이백),50000,50461
특실,50000,50461
일반,20000,50462
드라이브인,30000,50462
특실 (페이백),60000,50462
특실,30000,50462
일반 (페이백),40000,50463
일반,40000,50463
일반(이벤트룸),40000,50463
온돌,50000,50463
특실,50000,50463
트윈,,50463
일반,22000,50464
특실,22000,50464
트윈,22000,50464
온돌,22000,50464
일반,30000,50466
트윈,50000,50466
일반 (페이백),,50466
일반 (페이백),50000,50468
일반,50000,50468
특실,60000,50468
트윈,70000,50468
세미 스탠다드(넷플릭스),20000,50469
금연룸-흡연시 강제퇴실(넷플릭스),20000,50469
스탠다드(넷플릭스),20000,50469
디럭스(스타일러),50000,50469
디럭스 트윈(넷플릭스),55000,50469
"디럭스(고사양PC,넷플릭스)",25000,50469
무한대실+얼리체크인(넷플릭스),38000,50469
"프리미엄 디럭스(넷플릭스, 스타일러, 고사양PC)",20000,50469
고사양 커플PC(넷플릭스),35000,50469
"VIP(넷플릭스, 안마의자, 스타일러)",35000,50469
"프리미엄트윈(넷플릭스,미니안마의자)",70000,50469
"VVIP(넷플릭스, 안마의자, 스타일러) ",40000,50469
스탠다드,35000,50470
디럭스,40000,50470
온돌,40000,50470
트윈룸,45000,50470
커플PC룸,45000,50470
단체온돌룸(4인기준),70000,50470
일반실(온돌) (페이백),40000,50471
일반실(침대),40000,50471
일반실(온돌),40000,50471
가족방,120000,50471
디럭스(1실1주차),30000,50475
스탠다드,20000,50475
Event Room(파티룸),35000,50475
Spa Room(스파룸),35000,50475
Game Room(게임룸),40000,50475
일반(주차가능),,50477
일반(도보전용),25000,50477
일반(도보전용) (페이백),,50477
특실 (페이백),60000,50478
특실,60000,50478
일반,60000,50478
디럭스(배그 PC),20000,50479
프리미엄(커플배그PC),30000,50479
"스위트(배그pc,스타일러,공기청정기)",30000,50479
스탠다드,20000,50479
트윈(커플배그PC),30000,50479
트윈 단체룸,40000,50479
일반 (페이백),31000,50480
일반,31000,50480
특실,41000,50480
일반,20000,50484
온돌,30000,50484
트윈,37000,50484
Room B(넷플릭스),20000,50485
Twin bedroom B(넷플릭스),50000,50485
Twin bedroom A(넷플릭스),55000,50485
Room A(넷플릭스),25000,50485
온돌,45000,50485
Room B,20000,50485
일반,15000,50486
트윈,25000,50486
한실,,50494
일반(침대),20000,50494
일반 (페이백),40000,50495
일반,20000,50495
일반,20000,50497
온돌,20000,50497
트윈,20000,50497
특실,45000,50497
금연실 이벤트룸 (페이백),80000,50497
금연룸,20000,50497
금연실 이벤트룸,80000,50497
일반,15000,50498
트윈베드,25000,50498
안마의자,20000,50498
게임 커플 PC룸,20000,50498
커플PC트윈베드(더블베드+싱글베드),20000,50498
일반,15000,50499
전망A,35000,50499
트윈(더블+싱글),40000,50499
트윈(싱글+싱글),40000,50499
전망B(더블+더블),45000,50499
Standard얼리체크인,,50500
Standard롱타임,,50500
Deluxe얼리체크인,,50500
"Standard 프리미엄  얼리체크인[넷플릭스 ,PC랜덤 배정 ]",,50500
"Standard 프리미엄  롱타임  [넷플릭스 ,PC랜덤 배정 ]",,50500
Deluxe롱타임,,50500
"Deluxe 프리미엄 얼리체크인 [넷플릭스 ,PC랜덤 배정 ]",,50500
"Deluxe 프리미엄 롱타임 [넷플릭스 ,PC랜덤 배정 ]",,50500
"Suite얼리체크인(안마의자, 패밀리룸, 고사양PC, 넷플릭스 중 랜덤)",,50500
Jbis Royal suite VIP(얼리체크인),,50500
Standard,30000,50500
"Standard 프리미엄[ 넷플릭스, PC랜덤 배정 ]",60000,50500
Deluxe,35000,50500
"Deluxe 프리미엄[넷플릭스 ,PC랜덤 배정 ]",65000,50500
" Suite넷플릭스(25,000편 컨텐츠,트윈베드,2인스파욕조)",100000,50500
"Suite안마의자+스파(최상위 안마의자,2인스파욕조)",100000,50500
"Suite 패밀리+스파(트윈베드, 2인스파욕조,전자렌지)",100000,50500
" Suite커플PC(인텔코어 is 9세대 RX570 게이밍 16GB메모리, 커브드모니터,PC방의자, 게이밍헤드셋)",100000,50500
Jbis Royal suite VIP,60000,50500
일반,20000,50502
일반 (페이백),,50502
일반,20000,50505
일반실,20000,50508
침실룸,25000,50510
온돌,25000,50510
일반 (페이백),50000,50512
일반,50000,50512
투베드,65000,50512
트윈,65000,50512
특대,70000,50512
특가 비지니스룸(1인기준),15000,50513
STANDARD,17000,50513
온돌,20000,50513
K룸,20000,50513
트윈,25000,50513
얼리룸 (페이백),100000,50513
얼리룸,100000,50513
일반(2인),30000,50514
특실,50000,50514
일반(2인) (페이백),,50514
특실,,50515
